name,address,website,phone_number,photos_count,reviews_count,reviews_average,keyword_count
Lena Restoran,"Osmanağa, Sakız Sk. no:32, 34714 Kadıköy/İstanbul, Türkiye",instagram.com,+90 542 152 53 62,124,196,4.5,14
Çiya Sofrası,"Caferağa, Güneşli Bahçe Sok, 34710 Kadıköy/İstanbul, Türkiye",ciya.com.tr,+90 216 418 51 15,5914,9766,4.1,50
Yanyalı Fehmi Lokantası,"Osmanağa, Güneşli Bahçe Sok No:1, 34714 Kadıköy/İstanbul, Türkiye",yanyalifehmi.com,+90 216 336 33 33,910,1832,4.2,11
