name,address,website,phone_number,photos_count,reviews_count,reviews_average,keyword_count
Kırıntı Restoran,"Caddebostan, Bağdat Cad. No:321, 34728 Kadıköy/İstanbul, Türkiye",kirinti.com.tr,+90 532 292 05 62,391,1459,3.8,10
Balıkadamlar Restaurant İşletmeleri,"Caddebostan, Funda Çk Sk. No:8/1, 34728 Kadıköy/İstanbul, Türkiye",business.site,+90 545 355 56 28,13,35,4.4,0
Lena Restoran,"Osmanağa, Sakız Sk. no:32, 34714 Kadıköy/İstanbul, Türkiye",instagram.com,+90 542 152 53 62,124,196,4.5,14
