name,address,website,phone_number,photos_count,reviews_count,reviews_average,keyword_count
Lena Restoran,"Osmanağa, Sakız Sk. no:32, 34714 Kadıköy/İstanbul, Türkiye",instagram.com,+90 542 152 53 62,124,196,4.5,14
Çiya Sofrası,"Caferağa, Güneşli Bahçe Sok, 34710 Kadıköy/İstanbul, Türkiye",ciya.com.tr,+90 216 418 51 15,5914,9766,4.1,54
Develi 1912 KALAMIŞ,"Fenerbahçe, Kalamış Yat Limanı, Münir Nurettin Selçuk Cd., 34726 Kadıköy/İstanbul, Türkiye",develi1912.com,+90 216 418 94 00,1151,2839,4.1,20
